loan_status,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_bal,revol_util
1,17.27,449.97,62000,7.82,0,2,0,11273,86.7
1,14.27,497.43,36000,21.07,0,0,0,16753,40.9
1,15.99,136.16,52416,19.78,0,2,0,1258,28.6
1,20.99,432.09,225000,5.71,0,1,0,10852,80.5
1,15.99,121.57,65004,3.43,2,1,1,2274,25.8
1,13.43,229.74,32400,20.52,0,2,0,13586,93.7
1,15.28,621.77,40000,20.76,0,1,0,24358,75.9
1,12.23,357.78,60000,6.94,0,1,0,16102,87
1,9.99,89.22,20004,2.7,0,0,0,810,13.9
1,21.48,327.89,40000,13.02,0,1,0,5984,35.2
1,14.98,124.76,67692,11.66,0,1,0,1139,29.2
1,11.99,379.42,34000,25.49,0,0,0,12355,71.4
1,11.99,298.89,37000,14.04,3,0,1,7319,26.3
1,17.57,402.57,95000,18.61,0,1,0,18511,56.4
1,16.24,488.92,59580,19.54,0,0,0,10001,71.9
1,16.24,326.3,46000,4.44,1,4,0,4634,63.5
1,19.22,312.75,55000,25.59,0,0,0,18733,52.9
1,24.5,1017.07,120000,19.39,3,2,0,7618,80.2
1,15.61,843.9,130000,21.79,6,0,0,37317,61.4
1,16.24,611.15,62000,28.21,8,0,0,18506,89
1,16.24,457.75,42000,22.37,0,0,1,17767,86.7
1,14.47,337.19,31000,25.4,0,1,0,9089,26.9
1,9.67,321.13,35000,12.59,0,0,0,11015,43.4
1,24.5,459.14,52000,15.49,0,1,0,12621,82
1,16.99,288.85,45000,24.99,0,0,1,11524,52.9
1,11.99,212.55,50000,11.83,0,1,0,14017,67.4
1,19.52,917.97,100000,17.15,1,1,0,11622,70.9
1,15.61,458.12,55000,31.75,0,1,0,17923,41
1,9.67,160.57,45000,6.21,1,1,0,4168,24.4
1,19.2,302.84,185000,2.37,0,1,0,6110,92.6
1,17.76,151.34,50000,23.21,0,0,0,9395,59.8
1,21,367.34,30000,8.36,0,2,0,6873,79
1,19.52,509.47,45000,30.37,0,0,1,31208,55.3
1,15.1,809.72,51912,30,0,0,0,38062,89.6
1,11.99,33.21,50000,15.87,0,3,0,3126,42.2
1,11.99,199.26,45000,12.99,0,0,0,6845,45.7
1,9.67,385.35,80000,10.32,3,1,0,17919,36.2
1,11.99,597.78,55000,11.04,0,0,0,17329,90.3
1,15.61,524.48,52000,17.26,0,0,0,11505,91.3
1,13.67,544.29,65000,12.75,0,2,0,6787,99.8
1,13.67,285.75,43000,16.49,3,0,0,3524,62.9
1,22.4,568.08,47000,22.93,0,1,0,15590,63.1
1,17.1,756.9,70000,34.72,0,0,0,22814,99.2
1,13.67,374.2,45000,21.44,0,3,0,4291,37.6
1,16.2,141.03,30000,25.32,0,5,0,1766,15.1
